"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 08 07:00:55 UTC 2020","Wed Jan 08 07:00:55 UTC 2020","1","","GitHub Actions Test Test script execution [runs.main]","","GitHub Actions Test Test script execution [runs.main]","runs.main exists","runs.main exists",""
"passed","Wed Jan 08 07:00:55 UTC 2020","Wed Jan 08 07:00:55 UTC 2020","0","","GitHub Actions Test Test script execution [runs.main]","","GitHub Actions Test Test script execution [runs.main]","action.yml has runs.main","action.yml has runs.main",""
"passed","Wed Jan 08 07:00:56 UTC 2020","Wed Jan 08 07:00:56 UTC 2020","0","","utils/clone","","utils/clone","clone is a function","clone is a function",""
"failed","Wed Jan 08 07:00:55 UTC 2020","Wed Jan 08 07:00:55 UTC 2020","10","","GitHub Actions Test Test script execution [runs.main]","","GitHub Actions Test Test script execution [runs.main]","runs.main has expected output","runs.main has expected output",""
"passed","Wed Jan 08 07:00:55 UTC 2020","Wed Jan 08 07:00:55 UTC 2020","158","","GitHub Actions Test Test script execution [runs.main]","","GitHub Actions Test Test script execution [runs.main]","can run runs.main","can run runs.main",""
"failed","Wed Jan 08 07:00:56 UTC 2020","Wed Jan 08 07:00:56 UTC 2020","13","","utils/clone","","utils/clone","clone can be called for non-existent branch","clone can be called for non-existent branch",""
"passed","Wed Jan 08 07:00:55 UTC 2020","Wed Jan 08 07:00:55 UTC 2020","1","","GitHub Actions Test Test script execution [runs.main]","","GitHub Actions Test Test script execution [runs.main]","runs.main runs without error","runs.main runs without error",""
"failed","Wed Jan 08 07:00:56 UTC 2020","Wed Jan 08 07:00:56 UTC 2020","9","","utils/clone","","utils/clone","clone can be called for existing branch","clone can be called for existing branch",""
"passed","Wed Jan 08 07:00:56 UTC 2020","Wed Jan 08 07:00:57 UTC 2020","501","","utils/clone","","utils/clone","clone can be called","clone can be called",""
"passed","Wed Jan 08 07:00:55 UTC 2020","Wed Jan 08 07:00:55 UTC 2020","4","","GitHub Actions Test","","GitHub Actions Test","action.yml has valid yaml","action.yml has valid yaml",""
"passed","Wed Jan 08 07:00:55 UTC 2020","Wed Jan 08 07:00:55 UTC 2020","3","","GitHub Actions Test","","GitHub Actions Test","action.yml exists","action.yml exists",""
"passed","Wed Jan 08 07:00:59 UTC 2020","Wed Jan 08 07:00:59 UTC 2020","0","","utils/commitAndPush","","utils/commitAndPush","commitAndPush is a function","commitAndPush is a function",""
"passed","Wed Jan 08 07:00:55 UTC 2020","Wed Jan 08 07:00:55 UTC 2020","3","","GitHub Actions Test","","GitHub Actions Test","can read action.yml","can read action.yml",""
"passed","Wed Jan 08 07:00:55 UTC 2020","Wed Jan 08 07:00:55 UTC 2020","1","","GitHub Actions Test","","GitHub Actions Test","action.yml has correct runs.using","action.yml has correct runs.using",""
"passed","Wed Jan 08 07:00:59 UTC 2020","Wed Jan 08 07:00:59 UTC 2020","1","","utils/readInputs","","utils/readInputs","readInputs is a function","readInputs is a function",""
